FN102  FINANZAS III
CP170  FINANZAS III (r)
MN144  FINANZAS INTERNACIONALES
FN103  FINANZAS IV
CP171  FINANZAS IV (r)
FN116  FINANZAS PUBLICAS I
FN104  FINANZAS V
FN105  FINANZAS VI
FN106  FINANZAS VII
FN107  FINANZAS VIII
TR115  FOLKLORE DE MEXICO
RH108  FORMACION Y DESARROLLO DE RECURSOS HUMANOS
AD130  FORMULACION Y EVALUACION DE PROYECTOS DE INVERSION
TU138  FORMULACION Y EVALUACION DE PROYECTOS DE INVERSION (r)
TR188  FRANCES I
TR189  FRANCES II
TR190  FRANCES III
TR191  FRANCES IV
TR116  FUNDAMENTOS DEL TURISMO
CT138  FUSION, ESCISION, LIQUIDACION, CONSOLIDACION
CT120  GANADERAS
DP101  GARANTIAS
DP118  GARANTIAS DE SEGURIDAD JURIDICA
DS109  GARANTIAS SOCIALES
TR117  GEOGRAFIA TURISTICA
TR118  GESTION DE SERVICIOS DE ALIMENTOS Y BEBIDAS (r)
TR119  GESTION DE SERVICIOS DE HOSPEDAJE
AEP04  GESTION Y VINCULACION EDUCATIVA
CC311  GRAFICAS POR COMPUTADORA
CT139  GUBERNAMENTAL Y SERVICIOS PUBLICOS
AD131  HABILIDADES DIRECTIVAS
TR120  HIGIENE EN EL MANEJO DE ALIMENTOS Y BEBIDAS
CT140  HIPER Y SUPERMERCADOS Y AUTOSERVICIOS
DD102  HISTORIA DE DERECHO
TR121  HISTORIA DEL ARTE EN MEXICO
TR122  HISTORIA DEL ARTE UNIVERSAL
CT141  HOTELERIA, CONEXOS Y SERVICIOS HOSPITALARIOS
DD113  IDIOMA EXTRANJERO
MN117  IMAGEN CORPORATIVA
DS123  IMPUESTOS ESPECIALES
MP100  IMPUESTOS I
MP101  IMPUESTOS II
MP102  IMPUESTOS III
MP103  IMPUESTOS IV
MP104  IMPUESTOS V
MP105  IMPUESTOS VI
SI107  INFORMATICA BASICA
CC304  INGENIERIA DE SOFTWARE I
CC305  INGENIERIA DE SOFTWARE II
EN135  INGENIERIA ECONOMICA Y FINANCIERA
TR184  INGLES I
TR185  INGLES II
TR186  INGLES III
TR187  INGLES IV
AEP05  INNOVACION DE LA PRACTICA EDUCATIVA
ADC02  INSTITUCIONES DE BIENESTAR SOCIAL Y POLITICA SOCIAL
DD115  INSTITUCIONES POLITICAS Y SOCIALES
CC415  INTELIGENCIA ARTIFICIAL
TR123  INTERPRETACION AMBIENTAL
AEC06  INTERVENCION EDUCATIVA
CC100  INTRODUCCION A LA COMPUTACION
FS101  INTRODUCCION A LA FISICA
CC102  INTRODUCCION A LA PROGRAMACION
DD101  INTRODUCCION AL ESTUDIO DEL DERECHO
DP120  INVERSION EXTRANJERA
MN118  INVESTIGACION DE MERCADOS
ID218  INVESTIGACION DE OPERACIONES I
MC109  INVESTIGACION DE OPERACIONES I
TR196  JAPONES I
TR197  JAPONES II
TR198  JAPONES III
TR199  JAPONES IV
DP109  JURISPRUDENCIA
CM508  LA EDUCACION AMBIENTAL, UN CAMPO EMERGENTE
ADC12  LA SALUD EN MEXICO
SI113  LABORATORIO DE SISTEMAS OPERATIVOS
CJ123  LEGISLACION ADUANERA I
CJ125  LEGISLACION APLICADA AL TURISMO
ID421  LEGISLACION EN INFORMATICA
DP124  LEGISLATIVA I
DP140  LEGISLATIVA II
DP141  LEGISLATIVA III
DP142  LEGISLATIVA IV
DP143  LEGISLATIVA V
CC208  LENGUAJES DE PROGRAMACION COMPARADOS
MT106  LOGICA Y CONJUNTOS
MN121  LOGISTICA DEL COMERCIO INTERNACIONAL
DP103  LOS DELITOS
AEC10  MANEJO DE GRUPO
MT260  MATEMATICAS DISCRETAS
MC111  MATEMATICAS I
MC112  MATEMATICAS II
FS102  MECANICA
DP110  MEDICINA LEGAL
FN124  MERCADO DE VALORES
MN123  MERCADOTECNIA
MN125  MERCADOTECNIA AVANZADA
