CB133  BASES DE DATOS DISTRIBUIDAS
CB134  BASES DE DATOS RELACIONALES
CB513  BASES EPISTEMOLOGICAS DE LA CIENCIAS
NC101  BASES FUNCIONALES DEL PSIQUISMO HUMANO
FO156  BASES MOLECULARES DE LA NUTRICION
I9171  BASES NEUROPSICOLOGICAS DE LAS CONDUCTAS ADICTIVAS
I9172  BASES NEUROPSICOLOGICAS DE LOS TRANSTORNOS NEUROPSIQUIATRICOS
I9125  BASES PSICOBIOLOGICAS DEL COMPORTAMIENTO
PB103  BASES TEORICAS DE LA DINAMICA DE GRUPOS
C0341  BASES TEORICO-PRACTICAS DE LA INVESTIGACION EN ESTOMATOLOGIA
I9103  BASES-TEORICO-PRACTICAS DE LA ENTREVISTA
DV106  BIENES Y DERECHOS REALES
SDV06  BIENES Y DERECHOS REALES
I9488  BIOCLIMATOLOGIA
AG157  BIOCLIMATOLOGIA ANIMAL
I9466  BIOESTADISTICA
C0311  BIOESTADISTICA
EA506  BIOESTADISTICA
PS100  BIOESTADISTICA
I8631  BIOESTADISTICA AVANZADA
I8608  BIOESTADISTICA INFERENCIAL
FM137  BIOESTADISTICAS
C0318  BIOETICA
CS104  BIOETICA
EA503  BIOETICA
FI277  BIOETICA
I2065  BIOETICA
I8074  BIOETICA EN INVESTIGACION ODONTOLOGICA
I5404  BIOETICA EN INVESTIGACION ODONTOLOGICA
CS146  BIOETICA Y NORMATIVIDAD
I8548  BIOETICA Y UNIVERSIDAD
BC112  BIOFISICA
CB135  BIOINGENIERIA
I9087  BIOINGENIERIA ODONTOLOGICA
CB136  BIOLOGIA
BC101  BIOLOGIA CELULAR
CB137  BIOLOGIA CELULAR
PN129  BIOLOGIA DE LA LACTACION
BC113  BIOLOGIA DEL DESARROLLO
MF112  BIOLOGIA DEL DESARROLLO
BC108  BIOLOGIA MOLECULAR
CB138  BIOLOGIA MOLECULAR
I8674  BIOLOGIA MOLECULAR
I8828  BIOLOGIA MOLECULAR
FO170  BIOLOGIA MOLECULAR
I8578  BIOLOGIA MOLECULAR BASICA
I8580  BIOLOGIA MOLECULAR EN LA CLINICA
FO174  BIOLOGIA MOLECULAR EN LA CLINICA
I5393  BIOLOGIA PULPAR Y PERIAPICAL II
I5392  BIOLOGIA PULPAR Y PERIAPICAL L
FM136  BIOMATEMATICAS
CB139  BIOMATERIALES
OP131  BIOMATERIALES DENTALES I
OP132  BIOMATERIALES DENTALES II
CB140  BIOMECANICA
AG103  BIOMETRIA
AG114  BIOQUIMICA
BC100  BIOQUIMICA
I9465  BIOQUIMICA
CB141  BIOQUIMICA
FO164  BIOQUIMICA
PL102  BIOQUIMICA
I9021  BIOQUIMICA BUCAL
AG123  BIOQUIMICA DE ALIMENTOS
IA558  BIOQUIMICA DE ALIMENTOS
CB142  BIOQUIMICA DE ALIMENTOS
P0373  BIOQUIMICA DE LA NUTRICION
B0055  BIOQUIMICA DE LA NUTRICION
I8834  BIOQUIMICA DE LOS ALIMENTOS
FO155  BIOQUIMICA DE LOS ALIMENTOS
I8675  BIOQUIMICA HUMANA
I8577  BIOQUIMICA MEDICA
CB143  BIOQUIMICA MICROBIANA
I5367  BIOSEGURIDAD
I9486  BIOTECNOLOGIA APLICADA A LA PRODUCCION ANIMAL
I9439  BIOTECNOLOGIA DE ALIMENTOS ( INTRODUCCION )
PN130  BIOTECNOLOGIA DE LA REPRODUCCION
FO161  BIOTECNOLOGIA DE LOS ALIMENTOS
CB144  BOTANICA
I9419  BOTANICA DESCRIPTIVA
AG107  BOTANICA SISTEMATICA
I8844  BROMATOLOGIA
FO157  BROMATOLOGIA
PN102  BROMATOLOGIA
MT113  CALCULO AVANZADO
CB145  CALCULO DE VARIAS VARIABLES
I8836  CALCULO DIETETICO Y PLANEACION DE MENUS
AG116  CALCULO DIFERENCIAL
BC104  CALCULO DIFERENCIAL E INTEGRAL
I9417  CALCULO DIFERENCIAL E INTEGRAL
I9471  CALCULO DIFERENCIAL E INTEGRAL
CB146  CALCULO DIFERENCIAL E INTEGRAL
MT110  CALCULO DIFERENCIAL E INTEGRAL
AG117  CALCULO INTEGRAL
EA633  CALIDAD EN LOS SERVICIOS DE ENFERMERIA
AD125  CALIDAD TOTAL
P0017  CALIDAD TOTAL
AG187  CALIDAD TOTAL
ID207  CALIDAD TOTAL
CB147  CALIDAD Y PRODUCTIVIDAD
CB148  CALIDAD Y TRATAMIENTO DEL AGUA
SA116  CAMPAÑAS ZOOSANITARIAS
EA138  CAMPO CLINICO DE ENFERMERIA EN LA MUJER
EA160  CAMPO CLINICO DE ENFERMERIA FUNDAMENTAL
EA139  CAMPO CLINICO DE ENFERMERIA INFANTIL
EA136  CAMPO CLINICO DE ENFERMERIA MEDICA EN EL ADULTO
EA137  CAMPO CLINICO DE ENFERMERIA QUIRURGICA EN EL ADULTO
ECC60  CAMPO CLINICO EN ADMINISTRACION Y DOCENCIA EN ENFERMERIA
EA144  CAMPO CLINICO EN ADMINISTRACION Y GESTION DE LA CALIDAD EN ENFERMERIA
