IM409  DISPOSITIVOS DE MEDICION Y CONTROL
IM408  DISPOSITIVOS ELECTRICOS
IM403  DISPOSITIVOS MECANICOS
CB183  DISTRIBUCION EN PLANTA
ID213  DISTRIBUCION EN PLANTA
CT135  ECOLOGICAS
ID301  ECONOMIA
ID302  ECONOMIA ANALITICA
DD116  ECONOMIA I
SDD16  ECONOMIA I
EN113  ECONOMIA I
DD121  ECONOMIA II
SDD20  ECONOMIA II
EN114  ECONOMIA II
DD122  ECONOMIA III
SDD21  ECONOMIA III
DD123  ECONOMIA IV
SDD22  ECONOMIA IV
CB184  ECONOMIA POLITICA
DD124  ECONOMIA V
SDD23  ECONOMIA V
CB185  ECUACIONES DIFERENCIALES
MT140  ECUACIONES DIFERENCIALES ORDINARIAS I
CB186  EDAFOLOGIA
CT136  EDITORIALES Y LIBRERIAS
AEC04  EDUCACION COMPARADA
CT137  EDUCATIVAS, PROGRAMA ESCUELA-EMPRESA
CM507  EL CAMPO DE LA EDUCACION AMBIENTAL EN AMERICA LATINA Y EL CARIBE
ADC03  EL FENOMENO EDUCATIVO
ADC08  EL TRABAJO SOCIAL EN EL AMBITO ESCOLAR
CB187  ELECTRICIDAD INDUSTRIAL
FS105  ELECTROMAGNETISMO
CB188  ELECTRONEUMATICA
ET217  ELECTRONICA ANALOGICA
ET304  ELECTRONICA DE ALTA FRECUENCIA
CB189  ELECTRONICA DE ALTA POTENCIA
ET305  ELECTRONICA DE POTENCIA
ET223  ELECTRONICA DESCRIPTIVA
ET218  ELECTRONICA DIGITAL
ET202  ELECTRONICA I
ET203  ELECTRONICA II
ET219  ELECTRONICA INDUSTRIAL
FM102  ELEMENTOS BASICOS DE ESTADISTICA
FM103  ELEMENTOS BASICOS DE METODOLOGIA CIENTIFICA
PB102  ELEMENTOS BASICOS DE PSICOLOGIA
MT151  ELEMENTOS DE DISE~O DE EXPERIMENTOS
ID418  ELEMENTOS DE INGENIERIA INDUSTRIAL
MT150  ELEMENTOS DE PROBABILIDAD Y ESTADISTICA
ET403  ENLACES SATELITALES
ID214  ENTORNO SOCIOECONOMICO DE MEXICO Y AMERICA
FM104  EPISTEMOLOGIA
CB190  EQUIPO BIOMEDICO ELECTRONICO
CB191  ERGONOMIA
ID211  ERGONOMIA
AEE47  ESPECIALIZANTE ARTISTICA I
AEE48  ESPECIALIZANTE ARTISTICA II
AEE49  ESPECIALIZANTE ARTISTICA III
AEE50  ESPECIALIZANTE ARTISTICA IV
AEE38  ESPECIALIZANTE DISCIPLINAR I
AEE39  ESPECIALIZANTE DISCIPLINAR II
AEE40  ESPECIALIZANTE DISCIPLINAR III
AEE41  ESPECIALIZANTE DISCIPLINAR IV
AEE46  ESPECIALIZANTE DISCIPLINAR IX
AEE42  ESPECIALIZANTE DISCIPLINAR V
AEE43  ESPECIALIZANTE DISCIPLINAR VI
AEE44  ESPECIALIZANTE DISCIPLINAR VII
AEE45  ESPECIALIZANTE DISCIPLINAR VIII
CM514  ESTADISTICA
FM105  ESTADISTICA AVANZADA
MT250  ESTADISTICA I
MC106  ESTADISTICA I
MT251  ESTADISTICA II
MC107  ESTADISTICA II
CB192  ESTADISTICA Y PROCESOS ESTOCASTICOS
FS103  ESTATICA
CM517  ESTRATEGIAS DIDACTICAS PARA LA CLARIFICACION DE VALORES AMBIENTALES
CC204  ESTRUCTURA DE ARCHIVOS
CC202  ESTRUCTURA DE DATOS
CB194  ESTRUCTURAS DE ARCHIVOS
CB193  ESTRUCTURAS DE DATOS
SP103  ESTUDIO Y PROMOCION DE LA SALUD FAMILIAR
DD109  ETICA JURIDICA
SDD09  ETICA JURIDICA
CT113  ETICA PROFESIONAL
ID220  ETICA PROFESIONAL
RH112  ETICA PROFESIONAL Y VALORES SOCIALES
AEC16  EVALUACION DE INTERVENCION EDUCATIVA
AEE15  EVALUACION DE LA ANIMACION SOCIOCULTURAL Y BICULTURAL
AEE58  EVALUACION DE LA EDUCACION DE INFRACTORES
AEE23  EVALUACION DE LA EDUCACION DE LA EDUCACION AMBIENTAL
AEE31  EVALUACION DE LA EDUCACION DE LA EDUCACION ARTISTICA
AEE35  EVALUACION DE LA EDUCACION DE LA EDUCACION EN LENGUAS
AEE27  EVALUACION DE LA EDUCACION DE LA EDUCACION FISICA
AEE54  EVALUACION DE LA EDUCACION NI~OS DE LA CALLE
AEE19  EVALUACION DE LA EDUCACION PARA LA SALUD
AEE11  EVALUACION DE LA GESTION Y ADMINISTRACION EDUCATIVA
ID304  EVALUACION DE PROYECTOS
ID216  EVALUACION ECONOMICA
PA107  EVALUACION EDUCATIVA
AEC09  EVALUACION EDUCATIVA
NC108  EVALUACION NEUROPSICOLOGICA Y REHABILITACION
PA108  EVALUACION, DIAGNOSTICO Y SELECCION EN LA PSICOLOGIA DEL TRABAJO
