CT503  CONTABILIDAD FINANCIERA Y DE COSTOS
CT114  CONTABILIDAD GUBERNAMENTAL
CT100  CONTABILIDAD I
CT101  CONTABILIDAD II
CT103  CONTABILIDAD III
P0015  CONTABILIDAD INTERNACIONAL
MN145  CONTABILIDAD INTERNACIONAL
CT505  CONTABILIDAD INTERNACIONAL (N)
CT104  CONTABILIDAD IV
EN103  CONTABILIDAD NACIONAL
CT105  CONTABILIDAD V
CT106  CONTABILIDAD VI
CT107  CONTABILIDAD VII
CT108  CONTABILIDAD VIII
P0104  CONTADURIA
MC102  CONTROL ESTADISTICO DE PROCESOS
MC510  CONTROL ESTADISTICO DE PROCESOS
MC527  CONTROL ESTADISTICO DE PROCESOS (N)
P0074  CONTROL INTERNO EN INSTITUCIONES FINANCIERAS
RH109  CONTROL Y SISTEMAS DE PERSONAL
CJ534  CONVENIOS, CONTRATOS Y ARBITRAJE INTERNACIONAL
AEP01  COORDINACION DE INTERVENCION EDUCATIVA
CT109  COSTOS I
CT110  COSTOS II
CT111  COSTOS III
CT112  COSTOS IV
MN108  CREACION Y DESARROLLO DE NUEVOS PRODUCTOS
EN567  CRECIMIENTO ECONOMICO
TR109  CULTURA GASTRONOMICA
RH110  CULTURA LABORAL
CM516  CURRICULUM Y EDUCACION AMBIENTAL
P0055  DECISIONES DE INVERSIONES
SI146  DECISIONES FINANCIERAS SISTEMATIZADAS
ADC13  DELINCUENCIA Y LEGISLACION
CJ141  DEMOGRAFIA
AD510  DERECHO ADMINISTRATIVO
P0126  DERECHO BURSATIL
CJ101  DERECHO CIVIL
MN588  DERECHO COMERCIAL INTERNACIONAL
AD506  DERECHO CONSTITUCIONAL
CJ100  DERECHO CONSTITUCIONAL
P0038  DERECHO CONSTITUCIONAL ADMINISTRATIVO  FISCAL
CJ551  DERECHO CONSTITUCIONAL ADMINISTRATIVO FISCAL
CJ559  DERECHO CONSTITUCIONAL PARA EL ANALISIS DE LAS POLITICAS PUBLICAS
CJ535  DERECHO CORPORATIVO
P0060  DERECHO CORPORATIVO
CJ550  DERECHO CORPORATIVO I
P0040  DERECHO CORPORATIVO I
CJ552  DERECHO CORPORATIVO II
P0044  DERECHO CORPORATIVO II
P0072  DERECHO FINANCIERO
CJ561  DERECHO FINANCIERO PARA LA GESTION PUBLICA
CJ105  DERECHO FISCAL
MP502  DERECHO FISCAL COMPARADO
P0042  DERECHO FISCAL COMPARADO
CJ106  DERECHO I
CJ109  DERECHO II
CJ110  DERECHO INTERNACIONAL
CJ502  DERECHO INTERNACIONAL
CJ111  DERECHO LABORAL
CJ102  DERECHO MERCANTIL I
CJ103  DERECHO MERCANTIL II
AD127  DESARROLLO DE EMPRENDEDORES
P0082  DESARROLLO DE LA EDUCACION  SUPERIOR I
P0086  DESARROLLO DE LA EDUCACION SUPERIOR II
SCJ07  DESARROLLO DE PROCESOS Y AMBIENTES DE APRENDIZAJE
SCJ80  DESARROLLO DE PROCESOS Y AMBIENTES DE APRENDIZAJE (N)
SI524  DESARROLLO DE PRODUCTOS MULTIMEDIA
SI549  DESARROLLO DE PRODUCTOS MULTIMEDIA (N)
MN543  DESARROLLO DE PRODUCTOS Y SERVICIOS
MN614  DESARROLLO DE PRODUCTOS Y SERVICIOS (N)
SI527  DESARROLLO DE SISTEMAS DE INFORMACION
SI555  DESARROLLO DE SISTEMAS DE INFORMACION (N)
MN518  DESARROLLO DE TESIS
FN509  DESARROLLO DIRECTIVO PARA FINANCIEROS
AD128  DESARROLLO E INNOVACION TECNOLOGICA
CJ570  DESARROLLO E INTERVENCION ORGANIZACIONAL
FN507  DESARROLLO EJECUTIVO PARA FINANCIEROS
EN105  DESARROLLO MUNICIPAL
AD129  DESARROLLO ORGANIZACIONAL
EN106  DESARROLLO REGIONAL Y SUSTENTABILIDAD
EN107  DESARROLLO RURAL
CM523  DESARROLLO URBANO
AD535  DESARROLLO Y CULTURA ORGANIZACIONAL
AEP03  DESCENTRALIZACION EDUCATIVA
AD515  DESCENTRALIZACION POLITICA Y ECONOMIA DEL MUNICIPIO
TR110  DESPACHADOR DE VUELOS
AD559  DIAGNOSTICO DE LA GESTION EMPRESARIAL
AEP06  DIAGNOSTICO DE NECESIDADES EDUCATIVAS NIVEL MACRO
AEP07  DIAGNOSTICO DE NECESIDADES EDUCATIVAS NIVEL MICRO
AEC03  DIAGNOSTICO EDUCATIVO
FN512  DIAGNOSTICO FINANCIERO DE LA EMPRESA
P0066  DIAGNOSTICO FINANCIERO DE LA EMPRESA
AEE12  DIAGNOSTICO Y FUNDAMENTACION DE LA ANIMACION SOCIOCULTURAL Y BICULTURAL
AEE16  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION  PARA LA SALUD
AEE20  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION AMBIENTAL
AEE28  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION ARTISTICA
AEE55  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION DE INFRACTORES
AEE51  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION DE NI~OS DE LA CALLE
AEE32  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION EN LENGUAS
AEE24  DIAGNOSTICO Y FUNDAMENTACION DE LA EDUCACION FISICA
AEE36  DIAGNOSTICO Y FUNDAMENTACION DE LA EPISTEMOLOGIA DE LA CIENCIA
CT133  DICTAMEN AUDITORIA FISCALES
P0011  DICTAMEN FISCAL
AU515  DICTAMEN FISCAL (N)
MN109  DIFERENCIAS CULTURALES
P0058  DIRECCION ESTRATEGICA
MN609  DIRECCION ESTRATEGICA DE LA CALIDAD
FN514  DIRECCION Y ADMINISTRACION DE LAS ESTRATEGIAS FINANCIERAS
AD504  DIRECCION Y LIDERAZGO
MN567  DIRECCION Y MEJORA DE PROCESOS
MN608  DIRECCION Y MEJORA DE PROCESOS (N)
CJ518  DISE~O CURRICULAR
SI106  DISE~O DE BASE DE DATOS
SSI08  DISE~O DE CURSOS DE EDUCACION A DISTANCIA
P0114  DISE~O DE INVESTIGACION
AEC05  DISE~O DE PROGRAMAS Y PROYECTOS EDUCATIVOS
AD507  DISE~O E IMPLEMENTACION DE POLITICAS PUBLICAS
AD141  DISE~O ORGANIZACIONAL
SCJ79  DISE~O SISTEMATICO DE CURSOS EN LA EDUCACION A DISTANCIA Y EN LINEA
SSI57  DISE~O WEB DINAMICO
P0022  DISE~O Y CULTURA ORGANIZACIONAL
AEC11  DISE~O Y EVALUACION CURRICULAR
SI516  DISE~O Y EVALUACION DE REDES
AEC13  DISE~O Y OPERACION DE PROYECTOS Y ESTRATEGIAS DE INTERVENCION EDUCATIVA I
AEC14  DISE~O Y OPERACION DE PROYECTOS Y ESTRATEGIAS DE INTERVENCION EDUCATIVA II
MN563  DISE~O Y SOCIEDAD
MN110  DISTRIBUCION Y LOGISTICA
RH111  DOTACION E INDUCCION DE RECURSOS HUMANOS
FN526  E-BANKING
MN604  E-BUSINESS
MN603  E-COMMERCE
AD553  E-GOBERNMENT
EN506  ECONOMETRIA
MC103  ECONOMETRIA I
MC536  ECONOMETRIA I
MC104  ECONOMETRIA II
MC538  ECONOMETRIA II
EN533  ECONOMIA
EN536  ECONOMIA (N)
EN112  ECONOMIA AMBIENTAL
P0084  ECONOMIA DE LA EDUCACION
EN109  ECONOMIA DE LA EDUCACION
EN110  ECONOMIA DE LA EDUCACION Y DEL TRABAJO
EN569  ECONOMIA DE LA EMPRESA
MC105  ECONOMIA DE LA INCERTIDUMBRE
EN515  ECONOMIA DE LA ORGANIZACION
SI517  ECONOMIA DE LAS TELECOMUNICACIONES
EN111  ECONOMIA DE LOS ENERGETICOS
EN543  ECONOMIA DE LOS NEGOCIOS
EN510  ECONOMIA DE MEXICO
EN559  ECONOMIA DE MEXICO (N)
EN517  ECONOMIA DEL BIENESTAR
EN565  ECONOMIA DEL MEDIO AMBIENTE
EN572  ECONOMIA DEL SECTOR PUBLICO
EN113  ECONOMIA I
P0098  ECONOMIA I
EN114  ECONOMIA II
P0102  ECONOMIA II
EN115  ECONOMIA III
EN564  ECONOMIA INSTITUCIONAL
EN584  ECONOMIA INTERMEDIA
EN508  ECONOMIA INTERNACIONAL
EN579  ECONOMIA INTERNACIONAL (N)
EN116  ECONOMIA INTERNACIONAL I
EN557  ECONOMIA INTERNACIONAL I
EN117  ECONOMIA INTERNACIONAL II
EN568  ECONOMIA INTERNACIONAL II
EN118  ECONOMIA IV
EN119  ECONOMIA LABORAL
EN120  ECONOMIA POLITICA I
EN121  ECONOMIA POLITICA II
AD505  ECONOMIA PUBLICA
EN561  ECONOMIA PUBLICA I
EN562  ECONOMIA PUBLICA II
EN511  ECONOMIA REGIONAL
EN122  ECONOMIA REGIONAL I
NE505  ECONOMIA REGIONAL I
EN123  ECONOMIA REGIONAL II
NE506  ECONOMIA REGIONAL II
EN124  ECONOMIA URBANA
EN512  ECONOMIA URBANA Y PLANEACION
EN125  ECONOMIA V
EN166  ECONOMIA Y FINANZAS PUBLICAS
CJ521  ECONOMIA Y GESTION DEL CONOCIMIENTO
EN581  ECONOMIA Y NEGOCIOS INTERNACIONALES
EN520  ECONOMIA Y POBLACION
EN566  ECONOMIA Y POBLACION (N)
EN127  ECONOMIAS DEL BIENESTAR
TR111  ECOTURISMO
CJ114  EDUCACION , INVESTIGACION Y DESARROLLO
AEC04  EDUCACION COMPARADA
CJ532  EDUCACION SUPERIOR Y TRABAJO
P0129  EFECTOS FISCALES EN EL MERCADO BURSATIL
CM507  EL CAMPO DE LA EDUCACION AMBIENTAL EN AMERICA LATINA Y EL CARIBE
SCJ05  EL ESTUDIANTE ADULTO
SCJ09  EL ESTUDIANTE EN EDUCACION SUPERIOR
ADC03  EL FENOMENO EDUCATIVO
MN506  EL MERCADO INTERNACIONAL DE CAPITALES
ADC08  EL TRABAJO SOCIAL EN EL AMBITO ESCOLAR
AD550  ELABORACION DE ESTUDIOS DE CASO
TR112  ELABORACION DE GUIAS TURISTICAS
SRH56  ELABORACION Y EVALUACION DE PROYECTOS EDUCATIVOS
EN570  ELECCION PUBLICA
MN111  EMPRESAS AGROINDUSTRIALES DE EXPORTACION
MN112  EMPRESAS INTEGRADORAS EXPORTADORAS
TR113  ENOLOGIA
EN128  ENTORNO ECONOMICO INTERNACIONAL
AEE47  ESPECIALIZANTE ARTISTICA I
AEE48  ESPECIALIZANTE ARTISTICA II
AEE49  ESPECIALIZANTE ARTISTICA III
AEE50  ESPECIALIZANTE ARTISTICA IV
AEE38  ESPECIALIZANTE DISCIPLINAR I
AEE39  ESPECIALIZANTE DISCIPLINAR II
AEE40  ESPECIALIZANTE DISCIPLINAR III
AEE41  ESPECIALIZANTE DISCIPLINAR IV
AEE46  ESPECIALIZANTE DISCIPLINAR IX
AEE42  ESPECIALIZANTE DISCIPLINAR V
AEE43  ESPECIALIZANTE DISCIPLINAR VI
AEE44  ESPECIALIZANTE DISCIPLINAR VII
AEE45  ESPECIALIZANTE DISCIPLINAR VIII
P0020  ESTADISTICA
CM514  ESTADISTICA
P0088  ESTADISTICA
P0099  ESTADISTICA
MC502  ESTADISTICA
MC519  ESTADISTICA
MC553  ESTADISTICA (N)
MC540  ESTADISTICA APLICADA A LA GESTION PUBLICA I
MC541  ESTADISTICA APLICADA A LA GESTION PUBLICA II
MC125  ESTADISTICA BASICA
MC106  ESTADISTICA I
MC509  ESTADISTICA I
MC526  ESTADISTICA I (N)
MC107  ESTADISTICA II
MC513  ESTADISTICA II
MC529  ESTADISTICA II (N)
MC108  ESTADISTICA III
EN516  ESTRATEGIA DE COMERCIALIZACION
MN509  ESTRATEGIA DE MERCADOTECNIA
MN539  ESTRATEGIA DE NEGOCIOS
MN577  ESTRATEGIA DE NEGOCIOS (N)
CJ569  ESTRATEGIAS DE COMBATE A LA CORRUPCION
MN113  ESTRATEGIAS DE PROMOCION
MN593  ESTRATEGIAS DE PROMOCION INTERNACIONAL
CM517  ESTRATEGIAS DIDACTICAS PARA LA CLARIFICACION DE VALORES AMBIENTALES
P0054  ESTRATEGIAS FINANCIERAS DE LA EMPRESA
MN594  ESTRATEGIAS PARA EMPRESAS INTERNACIONALES
MN114  ESTRATEGIAS PRODUCTO - PRECIO
FN133  ESTRUCTURA DE CAPITAL
CJ115  ESTRUCTURA Y ORGANIZACION DEL SECTOR PUBLICO
CJ116  ESTUDIOS DE GENERO
CT113  ETICA PROFESIONAL
P0003  ETICA PROFESIONAL EN LOS NEGOCIOS
CT507  ETICA PROFESIONAL Y EN LOS NEGOCIOS (N)
RH112  ETICA PROFESIONAL Y VALORES SOCIALES
CJ117  ETICA SOCIAL
SCJ89  ETICA Y EDUCACION
P0007  EVALUACION CORPORATIVA
AU511  EVALUACION CORPORATIVA (N)
SCJ78  EVALUACION DE CENTROS EDUCATIVOS Y PROGRAMAS A DISTANCIA Y EN LINEA
AEC16  EVALUACION DE INTERVENCION EDUCATIVA
AEE15  EVALUACION DE LA ANIMACION SOCIOCULTURAL Y BICULTURAL
MN568  EVALUACION DE LA CALIDAD
MN602  EVALUACION DE LA CALIDAD (N)
AEE58  EVALUACION DE LA EDUCACION DE INFRACTORES
AEE23  EVALUACION DE LA EDUCACION DE LA EDUCACION AMBIENTAL
AEE31  EVALUACION DE LA EDUCACION DE LA EDUCACION ARTISTICA
AEE35  EVALUACION DE LA EDUCACION DE LA EDUCACION EN LENGUAS
AEE27  EVALUACION DE LA EDUCACION DE LA EDUCACION FISICA
AEE54  EVALUACION DE LA EDUCACION NI~OS DE LA CALLE
AEE19  EVALUACION DE LA EDUCACION PARA LA SALUD
CJ517  EVALUACION DE LA EDUCACION SUPERIOR
AEE11  EVALUACION DE LA GESTION Y ADMINISTRACION EDUCATIVA
SCJ82  EVALUACION DE PROCESOS DE APRENDIZAJE EN LA EDUCACION A DISTANCIA Y EN LINEA
MN549  EVALUACION DE PROYECTOS
MN585  EVALUACION DE PROYECTOS DE INVERSION
EN130  EVALUACION DE PROYECTOS I
EN131  EVALUACION DE PROYECTOS II
AEC09  EVALUACION EDUCATIVA
TR114  EVALUACION SOCIAL DE PROYECTOS I
CM504  EVOLUCION HISTORICA DE LAS RELACIONES SOCIEDAD-NATURALEZA
FN131  FACTORAJE FINANCIERO
P0076  FACTORES DEL DESARROLLO COGNITIVO
EN523  FENOMENOS ECONOMICOS DE ALCANCE INTERNACIONAL
MN566  FILOSOFIA DE LA CALIDAD
AD542  FILOSOFIA DE LA CALIDAD (N)
CJ118  FILOSOFIA SOCIAL Y POLITICA
RH113  FILOSOFIA Y ETICA DE LAS ORGANIZACIONES
P0064  FINANCIAMIENTO DEL COMERCIO INTERNACIONAL
MN503  FINANCIAMIENTO INTERNACIONAL
MN589  FINANCIAMIENTO INTERNACIONAL (N)
P0132  FINANZAS CORPORATIVAS
FN134  FINANZAS CORPORATIVAS
P0056  FINANZAS CORPORATIVAS
FN110  FINANZAS I
P0134  FINANZAS I
FN112  FINANZAS II
P0135  FINANZAS II
FN102  FINANZAS III
P0136  FINANZAS III
FN511  FINANZAS INTERNACIONALES
P0070  FINANZAS INTERNACIONALES
MN144  FINANZAS INTERNACIONALES
FN103  FINANZAS IV
P0137  FINANZAS IV
CP171  FINANZAS IV (r)
P0142  FINANZAS IX
FN116  FINANZAS PUBLICAS I
FN117  FINANZAS PUBLICAS II
FN104  FINANZAS V
P0138  FINANZAS V
FN105  FINANZAS VI
P0139  FINANZAS VI
FN106  FINANZAS VII
P0140  FINANZAS VII
FN107  FINANZAS VIII
P0141  FINANZAS VIII
P0143  FINANZAS X
P0144  FINANZAS XI
P0145  FINANZAS XII
P0146  FINANZAS XIII
P0147  FINANZAS XIV
TR115  FOLKLORE DE MEXICO
AD525  FORMACION PARA LA DIRECCION Y LIDERAZGO EN LAS ORGANIZACIONES PUBLICAS
RH108  FORMACION Y DESARROLLO DE RECURSOS HUMANOS
MN504  FORMULACION DE PROYECTOS
MN601  FORMULACION Y EVALUACION DE PROYECTOS  EN NEGOCIOS INTERNACIONALES
AD130  FORMULACION Y EVALUACION DE PROYECTOS DE INVERSION
AD518  FORMULACION Y EVALUACION DE PROYECTOS DE INVERSION
TU138  FORMULACION Y EVALUACION DE PROYECTOS DE INVERSION (r)
MN115  FORMULACION Y EVALUACION DE PROYECTOS DE NEGOCIOS INTERNACIONALES
EN573  FORMULAION Y EVALUACION DE PROYECTOS SOCIALES
TR163  FRANCES
TR188  FRANCES I
TR164  FRANCES II
TR189  FRANCES II
TR165  FRANCES III
TR190  FRANCES III
TR166  FRANCES IV
TR191  FRANCES IV
TR116  FUNDAMENTOS DEL TURISMO
CT138  FUSION, ESCISION, LIQUIDACION, CONSOLIDACION
P0069  FUSIONES Y ADQUISICIONES
CT120  GANADERAS
MN116  GEOGRAFIA DEL COMERCIO INTERNACIONAL
TR117  GEOGRAFIA TURISTICA
AD529  GESTION DE LA ESCASEZ
P0130  GESTION DE PORTAFOLIOS DE INVERSION
