H0613  BASES DE DATOS RELACIONADOS
FO156  BASES MOLECULARES DE LA NUTRICION
PG116  BENEFICIO DE SEMILLAS
DV106  BIENES Y DERECHOS REALES
CM101  BIOCLIMATOLOGIA
BZ105  BIODIVERSIDAD
I0873  BIODIVERSIDAD I
I0874  BIODIVERSIDAD II
EC123  BIOECONOMIA
PS100  BIOESTADISTICA
I0109  BIOETICA
CS146  BIOETICA Y NORMATIVIDAD
I8548  BIOETICA Y UNIVERSIDAD
I0034  BIOFISICA
BZ106  BIOGEOGRAFIA
I0909  BIOGEOGRAFIA
ER112  BIOGEOGRAFIA
I0070  BIOGEOGRAFIA MARINA
BC101  BIOLOGIA CELULAR
ER108  BIOLOGIA DE INVERTEBRADOS
I0088  BIOLOGIA DE LA CONSERVACION
I0932  BIOLOGIA DE ORGANISMOS ACUATICOS I
ER141  BIOLOGIA DE ORGANISMOS ACUATICOS I
I0933  BIOLOGIA DE ORGANISMOS ACUATICOS II
ER142  BIOLOGIA DE ORGANISMOS ACUATICOS II
ER109  BIOLOGIA DE VERTEBRADOS
I0875  BIOLOGIA GENERAL
ER102  BIOLOGIA GENERAL
I0027  BIOLOGIA I
I0032  BIOLOGIA II
I0039  BIOLOGIA MARINA
BC108  BIOLOGIA MOLECULAR
I8674  BIOLOGIA MOLECULAR
I8828  BIOLOGIA MOLECULAR
FO170  BIOLOGIA MOLECULAR
I0105  BIOLOGIA MOLECULAR
I0934  BIOLOGIA PESQUERA
ER146  BIOLOGIA PESQUERA
F0429  BIOLOGIA PESQUERA
I0085  BIOLOGIA PESQUERA
FM136  BIOMATEMATICAS
H0635  BIOMATERIALES
H0636  BIOMECANICA
I0104  BIOPROCESOS MARINOS
BC100  BIOQUIMICA
I0951  BIOQUIMICA
FO164  BIOQUIMICA
I0033  BIOQUIMICA
PL102  BIOQUIMICA
I8834  BIOQUIMICA DE LOS ALIMENTOS
FO155  BIOQUIMICA DE LOS ALIMENTOS
I8675  BIOQUIMICA HUMANA
BZ108  BIOTECNOLOGIA
BZ144  BIOTECNOLOGIA ALIMENTARIA
FO161  BIOTECNOLOGIA DE LOS ALIMENTOS
I0100  BIOTECNOLOGIA MARINA
BZ145  BIOTECNOLOGIA PARA EL CULTIVO DE HONGOS COMESTIBLES
BZ146  BIOTECNOLOGIA VEGETAL
D1438  BLOQUES ECONOMICOS
TR103  BOLETAJE AEREO NACIONAL E INTERNACIONAL
BZ119  BOTANICA FORESTAL
I0922  BOTANICA FORESTAL
ER105  BOTANICA FORESTAL
ER103  BOTANICA GENERAL
