AV280  ACRILICO
PU174  DISE~O DE PAISAJE URBANO Y ESPACIOS ABIERTOS
AEC05  DISE~O DE PROGRAMAS Y PROYECTOS EDUCATIVOS
FM101  DISE~O DE PROTOCOLO DE INVESTIGACION
IF195  DISE~O DE REDES
IF212  DISE~O E IMPLEMENTACION DE PROYECTOS CON REALIDAD VIRTUAL
IT420  DISE~O ESTRUCTURAL
TC115  DISE~O ESTRUCTURAL I
TC116  DISE~O ESTRUCTURAL II
DI117  DISE~O EXPERIMENTAL
PR104  DISE~O I
PR105  DISE~O II
PR106  DISE~O III
PR107  DISE~O IV
AD141  DISE~O ORGANIZACIONAL
SCJ79  DISE~O SISTEMATICO DE CURSOS EN LA EDUCACION A DISTANCIA Y EN LINEA
PU144  DISE~O URBANO I
PU145  DISE~O URBANO II
PU146  DISE~O URBANO III
PU147  DISE~O URBANO IV
PR147  DISE~O URBANO POR COMPUTADORA
PR108  DISE~O V
PR109  DISE~O VI
PR110  DISE~O VII
SSI57  DISE~O WEB DINAMICO
P0022  DISE~O Y CULTURA ORGANIZACIONAL
AEC11  DISE~O Y EVALUACION CURRICULAR
IF179  DISE~O Y EVALUACION DE INTERFACES HOMBRE-MAQUINA
AEC13  DISE~O Y OPERACION DE PROYECTOS Y ESTRATEGIAS DE INTERVENCION EDUCATIVA I
AEC14  DISE~O Y OPERACION DE PROYECTOS Y ESTRATEGIAS DE INTERVENCION EDUCATIVA II
MN110  DISTRIBUCION Y LOGISTICA
PU172  ECOLOGIA
PU119  ECOLOGIA URBANA
MC103  ECONOMETRIA I
CA182  ECONOMIA GENERAL
DD116  ECONOMIA I
EN113  ECONOMIA I
DD121  ECONOMIA II
EN114  ECONOMIA II
DD122  ECONOMIA III
DD123  ECONOMIA IV
DD124  ECONOMIA V
IN144  ECOTECNOLOGIA
TR111  ECOTURISMO
IF134  ECUACIONES DIFERENCIALES
MT140  ECUACIONES DIFERENCIALES ORDINARIAS I
TC100  EDIFICACION I
TC101  EDIFICACION II
TC102  EDIFICACION III
TC103  EDIFICACION IV
AEC04  EDUCACION COMPARADA
CM507  EL CAMPO DE LA EDUCACION AMBIENTAL EN AMERICA LATINA Y EL CARIBE
AC525  EL ESTADO Y LA SOCIEDAD: NUEVOS ACTORES
