SA115  ENFERMEDADES EXOTICAS DE LOS ANIMALES DOMESTICOS
N108<  ENFERMEDADES HEREDITARIAS DE LA PRODUCCION ANIMAL
PN108  ENFERMEDADES HEREDITARIAS DE LA PRODUCCION ANIMAL
PN109  ENFERMEDADES NUTRICIONALES DE LOS ANIMALES DOMESTICOS
G123<  ENTOMOLOGIA APLICADA II (AGRICOLA)
PG123  ENTOMOLOGIA APLICADA II (AGRICOLA)
G130<  ENTOMOLOGIA APLICADA III (URBANA)
PG130  ENTOMOLOGIA APLICADA III (URBANA)
BZ155  ENTOMOLOGIA GENERAL.
A101<  EPIDEMIOLOGIA
SA101  EPIDEMIOLOGIA
SCM03  EPIDEMIOLOGIA BASICA
AEE47  ESPECIALIZANTE ARTISTICA I
AEE48  ESPECIALIZANTE ARTISTICA II
AEE49  ESPECIALIZANTE ARTISTICA III
AEE50  ESPECIALIZANTE ARTISTICA IV
AEE38  ESPECIALIZANTE DISCIPLINAR I
AEE39  ESPECIALIZANTE DISCIPLINAR II
AEE40  ESPECIALIZANTE DISCIPLINAR III
AEE41  ESPECIALIZANTE DISCIPLINAR IV
AEE46  ESPECIALIZANTE DISCIPLINAR IX
AEE42  ESPECIALIZANTE DISCIPLINAR V
AEE43  ESPECIALIZANTE DISCIPLINAR VI
AEE44  ESPECIALIZANTE DISCIPLINAR VII
AEE45  ESPECIALIZANTE DISCIPLINAR VIII
CM139  ESPELEOLOGIA
Z110<  ESPERMATOFITAS
BZ110  ESPERMATOFITAS
CM514  ESTADISTICA
SCM04  ESTADISTICA
SCM05  ESTANCIA DE VINCULACION I
SCM06  ESTANCIA DE VINCULACION II
SCM07  ESTANCIA DE VINCULACION III
SCM08  ESTANCIA DE VINCULACION IV
CM517  ESTRATEGIAS DIDACTICAS PARA LA CLARIFICACION DE VALORES AMBIENTALES
N110<  ESTRES Y ADAPTACION ANIMAL
PN110  ESTRES Y ADAPTACION ANIMAL
F106<  ESTRUCTURA Y CALIDAD DE LA MADERA
PF106  ESTRUCTURA Y CALIDAD DE LA MADERA
SCM09  ETICA AMBIENTAL
BZ118  ETNOBOTANICA
PG515  ETNOBOTANICA
N111<  ETOLOGIA DE LOS ANIMALES DOMESTICOS
PN111  ETOLOGIA DE LOS ANIMALES DOMESTICOS
AEC16  EVALUACION DE INTERVENCION EDUCATIVA
AEE15  EVALUACION DE LA ANIMACION SOCIOCULTURAL Y BICULTURAL
AEE58  EVALUACION DE LA EDUCACION DE INFRACTORES
AEE23  EVALUACION DE LA EDUCACION DE LA EDUCACION AMBIENTAL
AEE31  EVALUACION DE LA EDUCACION DE LA EDUCACION ARTISTICA
AEE35  EVALUACION DE LA EDUCACION DE LA EDUCACION EN LENGUAS
AEE27  EVALUACION DE LA EDUCACION DE LA EDUCACION FISICA
AEE54  EVALUACION DE LA EDUCACION NI~OS DE LA CALLE
AEE19  EVALUACION DE LA EDUCACION PARA LA SALUD
AEE11  EVALUACION DE LA GESTION Y ADMINISTRACION EDUCATIVA
AEC09  EVALUACION EDUCATIVA
Z104<  EVOLUCION
BZ104  EVOLUCION
CM504  EVOLUCION HISTORICA DE LAS RELACIONES SOCIEDAD-NATURALEZA
MV120  EXTERIOR DE LOS ANIMALES DOMESTICOS
BZ121  EXTINCION DE ESPECIES
PF113  EXTRACCION Y TRANSPORTE
N112<  FABRICACION DE ALIMENTOS PECUARIOS
PN112  FABRICACION DE ALIMENTOS PECUARIOS
V111<  FARMACOLOGIA VETERINARIA
MV111  FARMACOLOGIA VETERINARIA
M106<  FERTILIDAD DE SUELOS
CM106  FERTILIDAD DE SUELOS
PG527  FERTILIDAD DE SUELOS
CM124  FERTILIZACION BIOLOGICA
G125<  FERTIRRIGACION
PG125  FERTIRRIGACION
FO521  FILOSOFIA DE LA CIENCIA
BC105  FISICA
BC106  FISICOQUIMICA
C106<  FISICOQUIMICA
A105<  FISICOQUIMICA ALIMENTARIA
SA105  FISICOQUIMICA ALIMENTARIA
BZ101  FISIOLOGIA ANIMAL COMPARADA
C113<  FISIOLOGIA DE CULTIVOS AGRICOLAS
EC113  FISIOLOGIA DE CULTIVOS AGRICOLAS
V113<  FISIOLOGIA DE LA DIGESTION
MV113  FISIOLOGIA DE LA DIGESTION
V134<  FISIOLOGIA DE LA PRODUCCION
MV134  FISIOLOGIA DE LA PRODUCCION
V114<  FISIOLOGIA DE LA REPRODUCCION
MV114  FISIOLOGIA DE LA REPRODUCCION
MV103  FISIOLOGIA GENERAL
EC102  FISIOLOGIA VEGETAL
PG126  FISIOLOGIA Y MANEJO DE POSTCOSECHA
G127<  FISIOTECNIA
PG127  FISIOTECNIA
PG514  FISIOTECNIA
PG543  FITOMEJORAMIENTO
PG546  FITOMEJORAMIENTO DE AUTOGAMAS
PG129  FITOMEJORAMIENTO PARA CONDICIONES ADVERSAS
PG509  FITOMEJORAMIENTO PARA CONDICIONES ADVERSAS
G128<  FITOPATOLOGIA
PG128  FITOPATOLOGIA
PG554  FITOPATOLOGIA AVANZADA
Z147<  FLORA Y VEGETACION DE LA NUEVA GALICIA
BZ147  FLORA Y VEGETACION DE LA NUEVA GALICIA
