I6611  BIOTECNOLOGIA GENERAL
B0049  BIOTECNOLOGIA PARA CULTIVO DE HONGOS
I2086  BIOTECNOLOGIA PARA CULTIVOS DE HONGOS
B0045  BIOTECNOLOGIA VEGETAL I
I2077  BIOTECNOLOGIA VEGETAL I
B0046  BIOTECNOLOGIA VEGETAL II
I2078  BIOTECNOLOGIA VEGETAL II
I2041  BOTANICA
B0005  BOTANICA GENERAL
I8844  BROMATOLOGIA
MT113  CALCULO AVANZADO
I8836  CALCULO DIETETICO Y PLANEACION DE MENUS
I7344  CALCULO DIFERENCIAL
B0010  CALCULO DIFERENCIAL E INTEGRAL
CB146  CALCULO DIFERENCIAL E INTEGRAL
I5800  CALCULO DIFERENCIAL E INTEGRAL
MT110  CALCULO DIFERENCIAL E INTEGRAL
I6121  CALCULO DIFERENCIAL INTEGRAL
MT111  CALCULO EN VARIAS VARIABLES
I7345  CALCULO INTEGRAL
MT112  CALCULO VECTORIAL
SH135  CALIDAD DE VIDA.DESARROLLO DESDE LOS AGENTES Y RECURSOS LOCALES
CO528  CALIDAD DEL SOFTWARE
D1509  CALIDAD DEL SOFTWARE
AD125  CALIDAD TOTAL
P0017  CALIDAD TOTAL
ID207  CALIDAD TOTAL
I6488  CALIDAD TOTAL
I9173  CAPACITACION Y DESARROLLO DE PERSONAL
RH144  CAPACITACION Y DESARROLLO DE PERSONAL
I5106  CAPACITACION Y DESARROLLO DE PERSONAL
D0644  CARACTERIZACION DE GRUPOS DE PRODUCTORES
I2184  CARACTERIZACION DE MATERIALES
I6650  CARACTERIZACION DE MATERIALES
I5867  CELULOSA Y PAPEL
IQ301  CELULOSA Y PAPEL I
IQ302  CELULOSA Y PAPEL II
I9174  CEREBRO Y LENGUAJE
I6485  CERTIFICACION EN PROCESOS DE TRANSFORMACION
IQ407  CIENCIA E INGENIERIA DE LOS COLOIDES
I5853  CIENCIA E INGENIERIA DE LOS COLOIDES
IQ401  CIENCIA E INGENIERIA DE LOS MATERIALES
I5876  CIENCIA E INGENIERIA DE LOS MATERIALES
D1104  CIENCIA PENITENCIARIA
EK106  CIENCIA POLITICA
I5863  CIENCIA Y TECNOLOGIA DE POLIMEROS
IQ303  CIENCIA Y TECNOLOGIA DE POLIMEROS I
IQ304  CIENCIA Y TECNOLOGIA DE POLIMEROS II
NC107  CIENCIAS COGNITIVAS
P0602  CIENCIAS DE LA EDUCACION
DV120  CIENCIAS DOGMATICAS I
DV121  CIENCIAS DOGMATICAS II
DV122  CIENCIAS DOGMATICAS III
DV123  CIENCIAS DOGMATICAS IV
